Gene	Expression
Tgfbr2	0
Tgfbr2	1.123524981
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0.916453949
Tgfbr2	0.84135947
Tgfbr2	1.148910993
Tgfbr2	1.128076013
Tgfbr2	0.767155866
Tgfbr2	0
Tgfbr2	1.22297645
Tgfbr2	0
Tgfbr2	0.790988475
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0.5132176
Tgfbr2	1.123524981
Tgfbr2	1.632558515
Tgfbr2	0.609594409
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0.793790385
Tgfbr2	0
Tgfbr2	1.1752218
Tgfbr2	0
Tgfbr2	0.328379603
Tgfbr2	0.685741739
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0.240549248
Tgfbr2	1.203032887
Tgfbr2	1.414639147
Tgfbr2	1.36567514
Tgfbr2	1.18723862
Tgfbr2	0.971739591
Tgfbr2	0
Tgfbr2	0.974971994
Tgfbr2	0.311753861
Tgfbr2	0
Tgfbr2	0.781036939
Tgfbr2	0.92890769
Tgfbr2	0
Tgfbr2	1.292699003
Tgfbr2	1.105169428
Tgfbr2	1.562768543
Tgfbr2	1.248953615
Tgfbr2	0.59439255
Tgfbr2	0
Tgfbr2	1.237292338
Tgfbr2	1.544192111
Tgfbr2	0.775974331
Tgfbr2	0.212187604
Tgfbr2	0.808210973
Tgfbr2	0.855519156
Tgfbr2	1.043755127
Tgfbr2	0
Tgfbr2	0
Tgfbr2	1.451172158
Tgfbr2	1.295127085
Tgfbr2	0
Tgfbr2	0.487138375
Tgfbr2	1.142389466
Tgfbr2	0
Tgfbr2	0
Tgfbr2	1.131618664
Tgfbr2	1.18610838
Tgfbr2	1.410777233
Tgfbr2	1.201397124
Tgfbr2	0.931457871
Tgfbr2	0.939019776
Tgfbr2	0
Tgfbr2	1.070407322
Tgfbr2	0.881384657
Tgfbr2	1.28645647
Tgfbr2	0.643452676
Tgfbr2	1.01745073
Tgfbr2	0.26245109
Tgfbr2	1.303412071
Tgfbr2	0.721810615
Tgfbr2	1.587149498
Tgfbr2	0
Tgfbr2	1.649529566
Tgfbr2	0
Tgfbr2	1.627263417
Tgfbr2	0.485721426
Tgfbr2	0.830588669
Tgfbr2	1.491081413
Tgfbr2	1.433609843
Tgfbr2	1.259832699
Tgfbr2	0.737987326
Tgfbr2	1.305136319
Tgfbr2	1.752893155
Tgfbr2	0
Tgfbr2	1.077004327
Tgfbr2	1.241795431
Tgfbr2	1.062581984
Tgfbr2	1.005609445
Tgfbr2	1.356025857
Tgfbr2	0.123851641
Tgfbr2	0.725094521
Tgfbr2	1.498310554
Tgfbr2	1.271609301
Tgfbr2	0.982723388
Tgfbr2	1.32407658
Tgfbr2	1.2955671
Tgfbr2	1.235023159
Tgfbr2	1.449786847
Tgfbr2	1.370328008
Tgfbr2	1.33304403
Tgfbr2	1.549738731
Tgfbr2	1.037824751
Tgfbr2	1.021189299
Tgfbr2	1.4407517
Tgfbr2	0.951823035
Tgfbr2	0.984527313
Tgfbr2	0.281033367
Tgfbr2	1.079904468
Tgfbr2	1.457881897
Tgfbr2	1.453165393
Tgfbr2	0.710117365
Tgfbr2	1.076276255
Tgfbr2	1.60075515
Tgfbr2	1.34869419
Tgfbr2	0.788875116
Tgfbr2	1.596926814
Tgfbr2	1.078819183
Tgfbr2	0.954724791
Tgfbr2	1.148602655
Tgfbr2	1.481729197
Tgfbr2	0.957128198
Tgfbr2	0.968015714
Tgfbr2	0.958085849
Tgfbr2	1.690018781
Tgfbr2	1.199480915
Tgfbr2	0.892094603
Tgfbr2	0.995635195
Tgfbr2	0.821513528
Tgfbr2	1.459693976
Tgfbr2	0.383815366
Tgfbr2	1.246990699
Tgfbr2	1.493736802
Tgfbr2	0
Tgfbr2	1.127428778
Tgfbr2	0.546542663
Tgfbr2	1.03702788
Tgfbr2	0.723455672
Tgfbr2	0.923244019
Tgfbr2	1.026941628
Tgfbr2	1.521138084
Tgfbr2	1.154728207
Tgfbr2	1.234264124
Tgfbr2	0.359835482
Tgfbr2	1.123851641
Tgfbr2	1.102776615
Tgfbr2	1.271376872
Tgfbr2	1.408239965
Tgfbr2	1.401572846
Tgfbr2	1.843357378
Tgfbr2	1.117602692
Tgfbr2	0.447158031
Tgfbr2	1.13893394
Tgfbr2	1.350829274
Tgfbr2	1.651084089
Tgfbr2	1.303627976
Tgfbr2	0.979092901
Tgfbr2	1.135450699
Tgfbr2	1.212720154
Tgfbr2	0.964730921
Tgfbr2	1.333447274
Tgfbr2	0.744292983
Tgfbr2	1.387923467
Tgfbr2	1.342027688
Tgfbr2	1.126131407
Tgfbr2	1.642068627
Tgfbr2	1.08170727
Tgfbr2	1.13225969
Tgfbr2	0
Tgfbr2	1.150449409
Tgfbr2	0.913283902
Tgfbr2	1.369215857
Tgfbr2	1.293141483
Tgfbr2	1.649237472
Tgfbr2	0.859138297
Tgfbr2	1.013258665
Tgfbr2	1.220108088
Tgfbr2	1.387567779
Tgfbr2	1.003029471
Tgfbr2	1.475961589
Tgfbr2	1.116275588
Tgfbr2	1.537819095
Tgfbr2	1.18723862
Tgfbr2	1.366236124
Tgfbr2	0.629409599
Tgfbr2	0
Tgfbr2	0
Tgfbr2	1.255754787
Tgfbr2	0
Tgfbr2	0.743509765
Tgfbr2	0
Tgfbr2	1.546048866
Tgfbr2	1.144262774
Tgfbr2	1.258637283
Tgfbr2	1.395151592
Tgfbr2	1.686278678
Tgfbr2	0
Tgfbr2	1.093071306
Tgfbr2	1.332236415
Tgfbr2	1.575649615
Tgfbr2	1.53032779
Tgfbr2	0.95616843
Tgfbr2	1.16790781
Tgfbr2	1.012415375
Tgfbr2	0.220108088
Tgfbr2	1.172894698
Tgfbr2	1.478422188
Tgfbr2	1.249687428
Tgfbr2	0.190331698
Tgfbr2	1.406369835
Tgfbr2	1.056904851
Tgfbr2	1.655810494
Tgfbr2	1.212453961
Tgfbr2	1.349860082
Tgfbr2	1.494432899
Tgfbr2	1.227886705
Tgfbr2	1.38219721
Tgfbr2	1.54567815
