time	Sox9	Tgfb1	Tgfbr2	Cebpa	Tgfb2
12.5	0.605305046	0	1.148602655	0.98721923	0
12.5	1.299507299	0	1.481729197	0.892651034	0
12.5	0	0	0.957128198	1.05422991	0
12.5	0.77815125	0	0.968015714	1.128399269	0
12.5	0.136720567	0	0.958085849	1.522444234	0
12.5	1.172602931	0	1.690018781	0.894869657	0
12.5	0	0	1.199480915	1.629715333	0
12.5	0.693726949	0	0.892094603	0	0
12.5	0.847572659	0	0.995635195	1.157758886	0
12.5	0	0	0.821513528	1.418798291	0
12.5	0	0	1.459693976	1.38309693	0
12.5	0	0	0.383815366	1.09131516	0
12.5	0	0	1.246990699	1.284881715	0
12.5	0.662757832	0	1.493736802	1.179838928	0
12.5	0	0	0	0	0
12.5	0	0	1.127428778	0.880813592	0
12.5	0	0	0.546542663	1.168497484	0
12.5	1.599992178	0	1.03702788	1.104487111	0
12.5	1.638589083	0	1.521138084	0.67669361	0
12.5	1.534280005	0	1.154728207	0	0
12.5	2.125936467	0	0.696356389	1.23299611	0
12.5	2.503313923	0	1.358125285	1.465828815	0
12.5	0.776701184	0	1.51600623	1.366796383	0
12.5	2.126910295	0.23299611	0.833784375	1.040997692	0
12.5	2.093421685	0	0.267171728	0	0
12.5	1.731508184	0	0	1.213252052	0
12.5	2.246793919	0	0.545307116	1.605089462	0
12.5	2.536545818	0	0	1.388633969	0
12.5	2.292123104	0	1.078456818	1.618780025	0
12.5	2.102536607	0	1.465828815	1.707229419	0
12.5	1.745855195	0	1.056142262	1.616265405	0
12.5	2.006594386	0	1.483729899	1.095866453	0.831229694
12.5	2.670208732	0	1.364550995	0	0
12.5	0.507855872	0.671172843	1.310268367	0.823474229	0
12.5	1.368472838	0	1.644143051	1.416307587	0
12.5	0	0	1.541704023	1.408918021	0.08278537
13.5	0	0	1.234264124	0.710117365	0
13.5	0	0	0.359835482	1.143951116	0
13.5	0	0	1.123851641	1.17868924	0
13.5	0	0	1.102776615	1.053462605	0
13.5	0	0	1.271376872	1.197004728	0
13.5	0	0	1.408239965	1.309630167	0
13.5	0	0	1.401572846	1.292477594	0
13.5	0.133538908	0	1.843357378	1.39880773	0
13.5	0.699837726	0	1.117602692	1.661907293	0
13.5	0	0	0.447158031	0.978180517	0
13.5	0	0	1.13893394	1.394801777	0
13.5	0	0	1.350829274	1.503790683	0
13.5	0	0	1.651084089	1.059563418	0
13.5	0	0	1.303627976	0.334453751	0
13.5	0.413299764	0	0.979092901	1.671913012	0
13.5	0	0	1.135450699	1.497482537	0
13.5	0	0	1.212720154	0	0
13.5	0	0	0.964730921	1.111934276	0
13.5	0	0	1.333447274	1.47957531	0
13.5	0	0	0.744292983	0.936010796	0
13.5	0	0.250420002	1.387923467	1.028164419	0
13.5	0	0	1.342027688	1.016197354	0
13.5	0	0	1.126131407	0.939019776	0
13.5	0	0	1.642068627	0.31386722	0
13.5	0	0	1.08170727	0	0
13.5	0	0	1.13225969	1.376759395	0
13.5	0	0	0	0.753583059	0
13.5	0	0	1.150449409	0.921686475	0
13.5	0	0	0.913283902	1.31386722	0
13.5	0	0	1.369215857	1.351603072	0
13.5	0	0	1.293141483	1.578524605	0
13.5	0.170261715	0	1.649237472	1.333648757	0.267171728
13.5	0	0	0.859138297	0.797959644	0
13.5	0	0	1.013258665	0.704150517	0
13.5	0	0	1.220108088	1.314288661	0
13.5	0	0	1.387567779	1.382557322	0
13.5	0	0	1.003029471	1.331022171	0
13.5	0	0	1.475961589	0.934498451	0
13.5	0	0	1.116275588	0	0
13.5	0	0	1.537819095	0	0
13.5	0	0	1.18723862	1.583652109	0
13.5	0	0	1.366236124	1.443262987	0
13.5	0	0	0	0	0
13.5	0	0	1.255754787	1.517591731	0
13.5	0	0	0	0	0
13.5	0	0	0.743509765	1.491501766	0
13.5	0	0	1.395151592	1.296884476	0
13.5	0	0	1.093071306	1.105510185	0
13.5	1.626237685	0	1.53032779	1.600972896	0
13.5	0	0.264817823	0.95616843	1.002166062	0
13.5	0.877371346	0	1.16790781	1.375297738	0
13.5	0.617000341	0	1.012415375	0.580924976	0
13.5	0	0	0.220108088	1.476831629	0
13.5	0	0	1.172894698	1.154728207	0
13.5	0	0	1.478422188	1.076640444	0
14.5	0	0	1.249687428	1.013679697	0
14.5	0	0	0.190331698	1.254548077	0
14.5	0	0	1.406369835	1.573451822	0
14.5	0.64738297	0	1.056904851	1.248708736	0
14.5	0	0	1.655810494	1.192288613	0
14.5	0	0	1.212453961	1.678882415	0
14.5	0	0	1.349860082	1.553033016	0
14.5	0	0	1.494432899	1.270678836	0
14.5	0	0	1.227886705	1.586587305	0
14.5	0.139879086	0	1.38219721	1.381295623	0
14.5	0	0	1.54567815	1.757471948	0
14.5	0	0	1.148602655	1.505285674	0
14.5	0	0	1.462697408	1.636186895	0
14.5	0.498310554	0	1.330413773	1.302979937	0
14.5	0	0	1.040997692	1.407390904	0
14.5	0	0	1.459241665	1.804275767	0
14.5	0	0.198657087	1.286231854	0	0
14.5	0	0	1.103803721	1.054995862	0
14.5	0.222716471	0	1.294466226	1.350635608	0
14.5	0	0	0	1.57065967	0
14.5	0	0	0	1.6642658	0
14.5	0	0	0	0.737192643	0
14.5	0	0	1.451632947	1.380573003	0
14.5	0	0	1.608312043	1.146128036	0
14.5	0	0	0.740362689	1.307067951	0.217483944
14.5	0.133538908	0	1.189770956	1.479431337	0
14.5	2.241347217	0	1.605305046	0	0
14.5	2.403686623	0	0	0.836324116	0
14.5	1.030599722	0	0.843232778	0	0
14.5	1.991403303	0.447158031	0.923244019	0	0
14.5	1.618884485	0	1.553883027	0.837588438	0
14.5	1.501470072	0	1.2955671	0.330413773	0.782472624
